timestamp,height_px,height_cm,height_cm_smooth,method
20251112_022302,37,,,hsv
20251112_022314,45,,,hsv
20251112_022318,34,,,hsv
20251112_022322,35,,,hsv
20251112_022325,42,,,hsv
20251112_022329,1066,,,yolo
20251112_022333,145,,,hsv
20251112_022336,857,,,yolo
20251112_022340,74,29.61,29.61,hsv
20251112_023945,42,,,hsv
20251112_023949,29,,,hsv
20251112_023953,40,,,hsv
20251112_023957,219,,,hsv
20251112_024000,56,,,hsv
20251112_024004,30,,,hsv
20251112_024008,81,,,hsv
20251112_024013,136,,,hsv
20251112_024017,591,,,yolo
20251112_024018,779,,,yolo
20251112_024019,538,,,yolo
20251112_024024,35,,,hsv
20251112_024027,93,,,hsv
20251112_024031,48,,,hsv
20251112_024038,55,,,hsv
20251112_024040,73,1.43,1.22,hsv
20251112_024046,50,0.97,1.01,hsv
20251112_024050,616,14.68,0.97,yolo
20251112_024052,37,1.23,9.78,hsv
20251112_024055,115,3.88,5.90,hsv
20251112_024057,64,2.20,3.42,hsv
20251112_024058,88,3.59,4.05,hsv
20251112_024100,90,3.21,3.15,hsv
20251112_024102,100,3.25,3.33,hsv
20251112_024104,490,15.97,5.44,yolo
20251112_024106,76,2.48,4.96,hsv
20251112_024109,668,21.77,19.58,yolo
20251112_024111,55,1.79,7.88,hsv
20251112_024116,47,1.53,5.98,hsv
20251112_024118,532,20.42,16.72,yolo
20251112_024122,424,19.23,18.63,yolo
20251112_024124,219,9.64,16.80,hsv
20251112_024126,367,16.17,16.94,yolo
20251112_024127,494,21.66,18.17,yolo
20251112_024129,482,21.48,22.06,yolo
20251112_024132,506,22.51,21.91,yolo
20251112_024137,483,21.35,20.34,yolo
20251112_024138,383,18.91,17.80,yolo
20251112_024140,336,16.06,16.14,yolo
20251112_024142,493,22.06,21.09,yolo
20251112_024144,480,21.47,21.21,yolo
20251112_024145,491,21.99,20.32,yolo
20251112_024147,335,14.95,14.76,yolo
20251112_024151,591,26.57,16.02,yolo
20251112_024153,672,17.73,21.01,yolo
20251112_024156,666,17.58,16.34,yolo
20251112_024158,661,17.44,8.93,yolo
20251112_024159,793,20.93,18.78,yolo
20251112_024201,727,19.19,17.12,yolo
20251112_024203,646,17.05,17.37,yolo
20251112_024205,644,17.00,16.78,yolo
20251112_024207,644,17.00,17.07,yolo
20251112_024208,657,17.34,17.36,yolo
20251112_024223,217,10.33,2.84,hsv
20251112_024401,74,1.35,1.49,hsv
20251112_024405,114,2.07,1.55,hsv
20251112_024414,40,14.02,1.17,hsv
20251112_024417,34,11.91,8.64,hsv
20251112_024437,393,7.15,1.54,hsv
20251112_024440,494,8.98,5.41,yolo
20251112_024443,588,10.69,10.16,yolo
20251112_024447,34,3.67,8.40,hsv
20251112_024452,36,3.88,7.04,hsv
20251112_024502,55,5.93,6.10,hsv
20251112_025629,69,1.25,1.02,hsv
20251112_025633,905,16.45,1.02,yolo
20251112_025636,1054,19.16,17.91,yolo
20251112_025638,945,17.18,17.63,yolo
20251112_025641,1007,18.31,17.74,yolo
20251112_025643,1031,18.75,18.66,yolo
20251112_025645,991,18.02,18.13,yolo
20251112_025648,965,17.55,18.53,yolo
20251112_025651,38,0.69,2.41,hsv
