epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2507,1.22946,2.3497,1.39698,0.72154,0.52377,0.66984,0.40964,1.24578,2.62846,1.52695,0.000655172,0.000655172,0.000655172
2,38.256,1.23384,1.82972,1.41126,0.24281,0.30851,0.17486,0.05136,2.37996,3.40048,2.69114,0.00129567,0.00129567,0.00129567
3,55.0743,1.35071,1.68022,1.47684,0.57469,0.78723,0.7047,0.38281,1.40353,2.12552,1.79388,0.00190976,0.00190976,0.00190976
4,71.81,1.31277,1.48353,1.42947,0.75445,0.76596,0.77478,0.47224,1.30717,1.85729,1.63548,0.0018812,0.0018812,0.0018812
5,88.632,1.33516,1.37002,1.42944,0.69283,0.68085,0.75243,0.47911,1.34189,1.57977,1.52509,0.0018416,0.0018416,0.0018416
6,105.599,1.25919,1.20528,1.35787,0.80556,0.84043,0.82894,0.5231,1.31545,1.28885,1.5212,0.001802,0.001802,0.001802
7,122.752,1.25969,1.13149,1.37142,0.87364,0.80905,0.91154,0.61549,1.17861,1.16234,1.40744,0.0017624,0.0017624,0.0017624
8,140.013,1.21143,1.08739,1.37134,0.85417,0.76596,0.87253,0.57197,1.14338,1.6375,1.39813,0.0017228,0.0017228,0.0017228
9,157.333,1.21347,1.05175,1.39487,0.88235,0.87767,0.91747,0.62206,1.09668,1.06558,1.37952,0.0016832,0.0016832,0.0016832
10,174.612,1.19058,0.99867,1.34113,0.9431,0.88163,0.94914,0.64663,1.0871,0.84758,1.34841,0.0016436,0.0016436,0.0016436
11,191.955,1.16036,0.93461,1.32687,0.79095,0.84527,0.86328,0.51478,1.32091,1.11154,1.53478,0.001604,0.001604,0.001604
12,209.386,1.14274,0.94151,1.31139,0.84891,0.79787,0.86624,0.61109,1.12653,0.98516,1.41393,0.0015644,0.0015644,0.0015644
13,226.868,1.14088,0.95037,1.32705,0.8727,0.92553,0.93175,0.65328,0.97407,0.82642,1.26275,0.0015248,0.0015248,0.0015248
14,244.445,1.15492,0.90826,1.34482,0.94545,0.93617,0.95824,0.6426,1.10591,0.80578,1.34727,0.0014852,0.0014852,0.0014852
15,262.115,1.1179,0.84824,1.28343,0.91621,0.96809,0.95836,0.65098,1.0568,0.7613,1.30342,0.0014456,0.0014456,0.0014456
